STATUS | wrapper  | 2018/09/08 20:29:12 | Apache Archiva installed.
STATUS | wrapper  | 2018/09/08 20:29:19 | Starting the Apache Archiva service...
STATUS | wrapper  | 2018/09/08 20:29:19 | --> Wrapper Started as Service
STATUS | wrapper  | 2018/09/08 20:29:20 | Launching a JVM...
INFO   | jvm 1    | 2018/09/08 20:29:20 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2018/09/08 20:29:20 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2018/09/08 20:29:20 | 
INFO   | jvm 1    | 2018/09/08 20:29:20 | 2018-09-08 20:29:20.392:WARN:oejd.ContextDeployer:ContextDeployer is deprecated. Use ContextProvider
INFO   | jvm 1    | 2018/09/08 20:29:20 | 2018-09-08 20:29:20.395:WARN:oejd.WebAppDeployer:WebAppDeployer is deprecated. Use WebAppProvider
INFO   | jvm 1    | 2018/09/08 20:29:20 | 2018-09-08 20:29:20.442:INFO:oejs.Server:jetty-8.1.14.v20131031
INFO   | jvm 1    | 2018/09/08 20:29:20 | 2018-09-08 20:29:20.452:INFO:oejs.NCSARequestLog:Opened C:\Users\elvis\Applications\Artifactory\archiva\logs\request-20180909.log
INFO   | jvm 1    | 2018/09/08 20:29:20 | 2018-09-08 20:29:20.473:INFO:oejd.ContextDeployer:Deploy C:\Users\elvis\Applications\Artifactory\archiva\contexts\archiva.xml -> o.e.j.w.WebAppContext{/,null},C:\Users\elvis\Applications\Artifactory\archiva/apps/archiva
INFO   | jvm 1    | 2018/09/08 20:29:22 | 2018-09-08 20:29:22.083:INFO:oejpw.PlusConfiguration:No Transaction manager found - if your webapp requires one, please configure one.
INFO   | jvm 1    | 2018/09/08 20:29:22 | 2018-09-08 20:29:22.148:INFO:oejw.StandardDescriptorProcessor:NO JSP Support for /, did not find org.apache.jasper.servlet.JspServlet
INFO   | jvm 1    | 2018/09/08 20:29:22 | 2018-09-08 20:29:22.554:INFO:/:Initializing Spring root WebApplicationContext
STATUS | wrapper  | 2018/09/08 20:29:23 | Apache Archiva started.
