STATUS | wrapper  | 2018/09/09 08:12:13 | --> Wrapper Started as Service
STATUS | wrapper  | 2018/09/09 08:12:14 | Launching a JVM...
INFO   | jvm 1    | 2018/09/09 08:12:14 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2018/09/09 08:12:14 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2018/09/09 08:12:14 | 
INFO   | jvm 1    | 2018/09/09 08:12:15 | 2018-09-09 08:12:15.212:WARN:oejd.ContextDeployer:ContextDeployer is deprecated. Use ContextProvider
INFO   | jvm 1    | 2018/09/09 08:12:15 | 2018-09-09 08:12:15.219:WARN:oejd.WebAppDeployer:WebAppDeployer is deprecated. Use WebAppProvider
INFO   | jvm 1    | 2018/09/09 08:12:15 | 2018-09-09 08:12:15.293:INFO:oejs.Server:jetty-8.1.14.v20131031
INFO   | jvm 1    | 2018/09/09 08:12:15 | 2018-09-09 08:12:15.308:INFO:oejs.NCSARequestLog:Opened C:\Users\elvis\Applications\Artifactory\archiva\logs\request-20180909.log
INFO   | jvm 1    | 2018/09/09 08:12:15 | 2018-09-09 08:12:15.338:INFO:oejd.ContextDeployer:Deploy C:\Users\elvis\Applications\Artifactory\archiva\contexts\archiva.xml -> o.e.j.w.WebAppContext{/,null},C:\Users\elvis\Applications\Artifactory\archiva/apps/archiva
INFO   | jvm 1    | 2018/09/09 08:12:18 | 2018-09-09 08:12:18.609:INFO:oejpw.PlusConfiguration:No Transaction manager found - if your webapp requires one, please configure one.
INFO   | jvm 1    | 2018/09/09 08:12:18 | 2018-09-09 08:12:18.753:INFO:oejw.StandardDescriptorProcessor:NO JSP Support for /, did not find org.apache.jasper.servlet.JspServlet
INFO   | jvm 1    | 2018/09/09 08:12:19 | 2018-09-09 08:12:19.630:INFO:/:Initializing Spring root WebApplicationContext
INFO   | jvm 1    | 2018/09/09 08:12:25 | Sep 09, 2018 8:12:25 AM org.apache.tomcat.jdbc.pool.ConnectionPool init
INFO   | jvm 1    | 2018/09/09 08:12:25 | WARNING: maxIdle is larger than maxActive, setting maxIdle to: 30
